deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,canonical_symbol,resolved_symbol,comment,in_research_window
2,2,2,2025.01.06 10:05:00,1736157900409,0,1,3,0.02000000,1.0333300000,0.00000000,0.00000000,0.00000000,0.00000000,2808202601,EURUSD,EURUSD,SolTrade TBV1,YES
3,3,3,2025.01.06 10:05:00,1736157900409,0,1,3,0.01000000,1.2457600000,0.00000000,0.00000000,0.00000000,0.00000000,2808202602,GBPUSD,GBPUSD,SolTrade TBV1,YES
4,4,4,2025.01.06 10:05:00,1736157900409,0,1,3,0.03000000,0.6231800000,0.00000000,0.00000000,0.00000000,0.00000000,2808202603,AUDUSD,AUDUSD,SolTrade TBV1,YES
5,5,5,2025.01.06 10:05:00,1736157900409,0,1,3,0.03000000,0.5627200000,0.00000000,0.00000000,0.00000000,0.00000000,2808202604,NZDUSD,NZDUSD,SolTrade TBV1,YES
6,6,6,2025.01.06 10:05:00,1736157900409,0,0,3,0.02000000,1.4388300000,0.00000000,0.00000000,0.00000000,0.00000000,2808202605,USDCAD,USDCAD,SolTrade TBV1,YES
7,7,7,2025.01.06 10:05:00,1736157900409,0,0,3,0.02000000,0.9075000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202606,USDCHF,USDCHF,SolTrade TBV1,YES
8,8,8,2025.01.06 10:05:00,1736157900409,0,0,3,0.01000000,157.6410000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202607,USDJPY,USDJPY,SolTrade TBV1,YES
9,9,2,2025.02.03 10:05:00,1738577100271,1,0,3,0.02000000,1.0218000000,23.06000000,0.00000000,2.52000000,0.00000000,2808202601,EURUSD,EURUSD,SolTrade TBV1 exit,YES
10,10,3,2025.02.03 10:05:00,1738577100271,1,0,3,0.01000000,1.2279800000,17.78000000,0.00000000,-0.52000000,0.00000000,2808202602,GBPUSD,GBPUSD,SolTrade TBV1 exit,YES
11,11,4,2025.02.03 10:05:00,1738577100271,1,0,3,0.03000000,0.6135900000,28.77000000,0.00000000,-0.52000000,0.00000000,2808202603,AUDUSD,AUDUSD,SolTrade TBV1 exit,YES
12,12,5,2025.02.03 10:05:00,1738577100271,1,0,3,0.03000000,0.5552700000,22.35000000,0.00000000,0.32000000,0.00000000,2808202604,NZDUSD,NZDUSD,SolTrade TBV1 exit,YES
13,13,6,2025.02.03 10:05:00,1738577100271,1,1,3,0.02000000,1.4712300000,44.04000000,0.00000000,1.40000000,0.00000000,2808202605,USDCAD,USDCAD,SolTrade TBV1 exit,YES
14,14,7,2025.02.03 10:05:00,1738577100271,1,1,3,0.02000000,0.9191700000,25.39000000,0.00000000,3.66000000,0.00000000,2808202606,USDCHF,USDCHF,SolTrade TBV1 exit,YES
15,15,8,2025.02.03 10:05:00,1738577100271,1,1,3,0.01000000,155.6590000000,-12.73000000,0.00000000,1.68000000,0.00000000,2808202607,USDJPY,USDJPY,SolTrade TBV1 exit,YES
16,16,16,2025.02.03 10:05:01,1738577101033,0,1,3,0.02000000,1.0217000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202601,EURUSD,EURUSD,SolTrade TBV1,YES
17,17,17,2025.02.03 10:05:01,1738577101033,0,1,3,0.01000000,1.2278500000,0.00000000,0.00000000,0.00000000,0.00000000,2808202602,GBPUSD,GBPUSD,SolTrade TBV1,YES
18,18,18,2025.02.03 10:05:01,1738577101033,0,1,3,0.03000000,0.6134800000,0.00000000,0.00000000,0.00000000,0.00000000,2808202603,AUDUSD,AUDUSD,SolTrade TBV1,YES
19,19,19,2025.02.03 10:05:01,1738577101033,0,1,3,0.03000000,0.5551300000,0.00000000,0.00000000,0.00000000,0.00000000,2808202604,NZDUSD,NZDUSD,SolTrade TBV1,YES
20,20,20,2025.02.03 10:05:01,1738577101033,0,0,3,0.02000000,1.4712300000,0.00000000,0.00000000,0.00000000,0.00000000,2808202605,USDCAD,USDCAD,SolTrade TBV1,YES
21,21,21,2025.02.03 10:05:01,1738577101033,0,0,3,0.02000000,0.9193300000,0.00000000,0.00000000,0.00000000,0.00000000,2808202606,USDCHF,USDCHF,SolTrade TBV1,YES
22,22,22,2025.02.03 10:05:01,1738577101033,0,0,3,0.01000000,155.6760000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202607,USDJPY,USDJPY,SolTrade TBV1,YES
23,23,20,2025.02.04 16:16:49,1738685809943,1,1,4,0.02000000,1.4367100000,-48.05000000,0.00000000,0.05000000,0.00000000,2808202605,USDCAD,USDCAD,sl 1.43675,YES
